dis_no,seq,start,end,years,decade,decade_year,category,subcategory,type,subtype,event_name,country,iso,latitude,longitude,region,continent,deaths,affected,deaths_affected,random_x,random_y
1968-0054-BGD,201,1968,1968,0,7,8,Hydrological,Flood,Flood,Flood,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,221,15889616,15889837,0.898615197,0.752598087
1968-0064-IDN,203,1968,1968,0,7,8,Geophysical,Earthquake,Earthquake,Tsunami,,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,200,,200,0.042783654,0.0323607
1968-0055-IND,204,1968,1968,0,7,8,Hydrological,Flood,Flood,Flash Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,4892,7500000,7504892,0.356236729,0.058863998
1968-0074-IND,205,1968,1968,0,7,8,Hydrological,Landslide,Landslide,Landslide,,India,IND,20.593684,78.96288,Southern Asia,Asia,1000,,1000,0.718008393,0.763518628
1968-0061-PHL,561,1968,1968,0,7,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,271,261,532,0.46037019,0.279546927
1968-0124-IND,562,1968,1968,0,7,8,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,1000,,1000,0.977460454,0.009368699
1968-0127-IND,563,1968,1968,0,7,8,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,560,,560,0.488851023,0.923932781
1968-0068-IRN,564,1968,1968,0,7,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,10000,79050,89050,0.603473928,0.633430018
1968-0023-ITA,565,1968,1968,0,7,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,224,55563,55787,0.72135323,0.821582577
1968-0049-MMR,567,1968,1968,0,7,8,Meteorological,Storm,Storm,Tropical Cyclone,,Myanmar,MMR,21.913965,95.956223,South-Eastern Asia,Asia,1070,90000,91070,0.460603004,0.867235453
1968-0075-NPL,568,1968,1968,0,7,8,Hydrological,Flood,Flood,Riverine Flood,,Nepal,NPL,28.394857,84.124008,Southern Asia,Asia,276,1000,1276,0.656027508,0.41040362
1968-0143-IRN,2138,1968,1968,0,7,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,700,,700,0.07221494,0.392789169
1969-0087-USA,577,1969,1969,0,7,9,Meteorological,Storm,Storm,Tropical Cyclone,Camille,United States,USA,37.09024,-95.712891,Northern America,Americas,323,,323,0.345190817,0.846854393
1969-0068-ECU,211,1969,1969,0,7,9,Biological,Epidemic,Epidemic,Viral Disease,Equine Encephalitis,Ecuador,ECU,-1.831239,-78.183406,South America,Americas,400,40000,40400,0.856829461,0.713856854
