dis_no,seq,start,end,years,decade,decade_year,category,subcategory,type,subtype,event_name,country,iso,latitude,longitude,region,continent,deaths,affected,deaths_affected,random_x,random_y
1900-9002-CPV,1,1900,1900,0,1,0,Climatological,Drought,Drought,Drought,,Cape Verde Islands,CPV,16.002082,-24.013197,Western Africa,Africa,11000,,11000,0.507580829,0.14029575
1900-9001-IND,2,1900,1900,0,1,0,Climatological,Drought,Drought,Drought,,India,IND,20.593684,78.96288,Southern Asia,Asia,1250000,,1250000,0.441068778,0.097497817
1900-0003-USA,281,1900,1900,0,1,0,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,6000,,6000,0.395984408,0.849629933
1900-0006-JAM,282,1900,1900,0,1,0,Hydrological,Flood,Flood,Flood,,Jamaica,JAM,18.109581,-77.297508,Caribbean,Americas,300,,300,0.74885179,0.836527515
1901-0001-UGA,283,1901,1901,0,1,1,Biological,Epidemic,Epidemic,Epidemic,,Uganda,UGA,1.373333,32.290275,Eastern Africa,Africa,200000,,200000,0.522417604,0.905886013
1902-0007-VCT,662,1902,1902,0,1,2,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mount Soufriere,St. Vincent and Grenadines,VCT,12.984305,-61.287228,Caribbean,Americas,1565,,1565,0.096452991,0.96301747
1902-0003-GTM,4,1902,1902,0,1,2,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Santa Maria,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,1000,,1000,0.343760755,0.696906712
1902-0010-GTM,5,1902,1902,0,1,2,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Santa Maria,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,6000,,6000,0.979152367,0.8893621
1902-0012-GTM,3,1902,1902,0,1,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,2000,,2000,0.45331648,0.504854268
1902-0005-MMR,285,1902,1902,0,1,2,Meteorological,Storm,Storm,Tropical Cyclone,,Myanmar,MMR,21.913965,95.956223,South-Eastern Asia,Asia,600,,600,0.490191451,0.385749139
1902-0011-SUN,286,1902,1902,0,1,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Russian Federation,RUS,61.52401,105.318756,Russian Federation,Europe,4562,125112,129674,0.32574812,0.552317125
1902-0014-CHN,2006,1902,1902,0,1,2,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,2500,,2500,0.800183124,0.78674825
1903-0007-TUR,287,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,3560,60000,63560,0.728819218,0.370306075
1903-0003-USA,663,1903,1903,0,1,3,Hydrological,Flood,Flood,Flood,,United States,USA,37.09024,-95.712891,Northern America,Americas,250,,250,0.145351163,0.828431732
1903-0016-IRN,2050,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,350,,350,0.884598291,0.812271713
1903-0013-TUR,2121,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,1700,,1700,0.896410249,0.603462044
1903-0015-TUR,2122,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,1000,,1000,0.649307509,0.30863635
1905-0003-IND,6,1905,1905,0,1,5,Geophysical,Earthquake,Earthquake,Ground Movement,,India,IND,20.593684,78.96288,Southern Asia,Asia,20000,,20000,0.599323718,0.542824419
1905-0001-ITA,288,1905,1905,0,1,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,557,22100,22657,0.27751546,0.388094159
1905-0004-PHL,289,1905,1905,0,1,5,Meteorological,Storm,Storm,Tropical Cyclone,,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,240,,240,0.037309312,0.957371785
1906-0012-ITA,291,1906,1906,0,1,6,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mt. Vesuve,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,700,,700,0.055473709,0.120077036
1906-0014-CHL,7,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Chile,CHL,-35.675147,-71.542969,South America,Americas,20000,,20000,0.505186613,0.195112692
1906-0002-COL,8,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Colombia,COL,4.570868,-74.297333,South America,Americas,400,,400,0.587823264,0.422400009
1906-0015-HKG,9,1906,1906,0,1,6,Meteorological,Storm,Storm,Tropical Cyclone,,Hong Kong (SAR China),HKG,22.396428,114.109497,Eastern Asia,Asia,10000,,10000,0.144605353,0.667654254
1906-0013-USA,290,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,United States,USA,37.09024,-95.712891,Northern America,Americas,700,84564,85264,0.262773117,0.122413586
1906-0001-TWN,292,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Taiwan,TWN,23.69781,120.960515,Eastern Asia,Asia,1258,20452,21710,0.430661337,0.172733983
1906-0029-CHN,2008,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,280,10000,10280,0.58316634,0.79462867
1907-0001-IND,11,1907,1907,0,1,7,Biological,Epidemic,Epidemic,Bacterial Disease,Bubonic,India,IND,20.593684,78.96288,Southern Asia,Asia,1300000,,1300000,0.861635514,0.891961736
1907-0006-CHN,10,1907,1907,0,1,7,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,12000,,12000,0.612448654,0.240794844
1907-0004-JAM,295,1907,1907,0,1,7,Geophysical,Earthquake,Earthquake,Ground Movement,,Jamaica,JAM,18.109581,-77.297508,Caribbean,Americas,1200,90000,91200,0.060489034,0.94629708
1908-0007-ITA,296,1908,1908,0,1,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,75000,150000,225000,0.970278253,0.788800722
1909-0001-CHN,13,1909,1909,0,1,9,Biological,Epidemic,Epidemic,Bacterial Disease,Bubonic,China,CHN,35.86166,104.195397,Eastern Asia,Asia,1500000,,1500000,0.703618042,0.176081636
1909-0007-IRN,297,1909,1909,0,1,9,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,5000,,5000,0.297662007,0.215577489
1909-0003-USA,299,1909,1909,0,1,9,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,350,,350,0.34309911,0.840365556
1909-0022-PAK,2051,1909,1909,0,1,9,Geophysical,Earthquake,Earthquake,Ground Movement,,Pakistan,PAK,30.375321,69.345116,Southern Asia,Asia,231,,231,0.114892489,0.247395038
1910-0001-CHN,15,1910,1910,0,2,0,Biological,Epidemic,Epidemic,Bacterial Disease,Pneumonic,China,CHN,35.86166,104.195397,Eastern Asia,Asia,60000,,60000,0.893813057,0.056071985
1910-0004-CRI,16,1910,1910,0,2,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Costa Rica,CRI,9.748917,-83.753428,Central America,Americas,1750,,1750,0.347216976,0.962121856
1910-0019-JPN,300,1910,1910,0,2,0,Hydrological,Flood,Flood,Flood,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,1379,,1379,0.791557824,0.211486351
1910-9006-NER,301,1910,1914,4,2,0,Climatological,Drought,Drought,Drought,,Niger,NER,17.607789,8.081666,Western Africa,Africa,85000,32000,117000,0.049738888,0.997944312
1910-0024-CRI,2009,1910,1910,0,2,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Costa Rica,CRI,9.748917,-83.753428,Central America,Americas,700,,700,0.190678937,0.238461636
1911-0001-PHL,302,1911,1911,0,2,1,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mount Taal,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,1335,199,1534,0.096864206,0.825250015
1911-0002-CHN,17,1911,1911,0,2,1,Hydrological,Flood,Flood,Riverine Flood,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,100000,,100000,0.086130357,0.053591255
1911-0006-TWN,303,1911,1911,0,2,1,Meteorological,Storm,Storm,Tropical Cyclone,,Taiwan,TWN,23.69781,120.960515,Eastern Asia,Asia,1000,,1000,0.973524622,0.906879141
1911-0022-IRN,2052,1911,1911,0,2,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,700,,700,0.447993336,0.883104377
1911-0020-KAZ,2053,1911,1911,0,2,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Kazakhstan,KAZ,48.019573,66.923684,Central Asia,Asia,450,,450,0.455367755,0.827823186
1912-0005-CHN,18,1912,1912,0,2,2,Meteorological,Storm,Storm,Tropical Cyclone,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,50000,,50000,0.881549141,0.262253443
1912-0006-TUR,304,1912,1912,0,2,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,923,18195,19118,0.488352449,0.302969567
1912-0008-JPN,306,1912,1912,0,2,2,Meteorological,Storm,Storm,Tropical Cyclone,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,1000,,1000,0.787797651,0.715456827
1913-0005-USA,308,1913,1913,0,2,3,Meteorological,Storm,Storm,Convective Storm,,United States,USA,37.09024,-95.712891,Northern America,Americas,732,,732,0.912633784,0.04028752
1913-0028-CHN,2010,1913,1913,0,2,3,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,942,112,1054,0.325611412,0.953619029
1914-0029-TUR,2124,1914,1914,0,2,4,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,4000,51700,55700,0.535955437,0.787955999
1915-0006-HTI,19,1915,1915,0,2,5,Meteorological,Storm,Storm,Tropical Cyclone,,Haiti,HTI,18.971187,-72.285215,Caribbean,Americas,1600,,1600,0.88797589,0.004208676
1915-0002-ITA,310,1915,1915,0,2,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,29980,,29980,0.279038115,0.295997904
1915-0005-USA,311,1915,1915,0,2,5,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,525,,525,0.613828053,0.406930959
1916-0004-IND,20,1916,1916,0,2,6,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,300,,300,0.056803258,0.128566902
1917-0014-CHN,21,1917,1917,0,2,7,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,1800,,1800,0.883849754,0.892090928
1917-0009-GTM,22,1917,1917,0,2,7,Geophysical,Earthquake,Earthquake,Ground Movement,,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,2650,,2650,0.083925675,0.218745315
1917-0003-IDN,23,1917,1917,0,2,7,Geophysical,Earthquake,Earthquake,Ground Movement,,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,15000,,15000,0.303739665,0.100390833
1917-0005-JPN,312,1917,1917,0,2,7,Meteorological,Storm,Storm,Tropical Cyclone,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,4000,,4000,0.730995378,0.890645932
1917-0002-SUN,313,1917,1917,0,2,7,Biological,Epidemic,Epidemic,Epidemic,,Russian Federation,RUS,61.52401,105.318756,Russian Federation,Europe,2500000,,2500000,0.227067735,0.37552279
1918-0001-BGD,25,1918,1918,0,2,8,Biological,Epidemic,Epidemic,Viral Disease,Influenza,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,393000,,393000,0.272494128,0.152506934
1918-0019-NZL,316,1918,1918,0,2,8,Biological,Epidemic,Epidemic,Viral Disease,Influenza,New Zealand,NZL,-40.900557,174.885971,Australia and New Zealand,Oceania,6700,,6700,0.447654252,0.09035595
1918-0015-CAN,26,1918,1918,0,2,8,Biological,Epidemic,Epidemic,Viral Disease,Spanish Influenza,Canada,CAN,56.130366,-106.346771,Northern America,Americas,50000,2000000,2050000,0.503602085,0.587952112
1918-0020-CHN,24,1918,1918,0,2,8,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,10000,,10000,0.22575393,0.705290596
1918-0007-USA,317,1918,1918,0,2,8,Climatological,Wildfire,Wildfire,Forest Fire,,United States,USA,37.09024,-95.712891,Northern America,Americas,1000,,1000,0.807427099,0.961393944
1919-0001-IDN,27,1919,1919,0,2,9,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mt. Kelud,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,5000,,5000,0.482576536,0.567964111
1919-0002-USA,318,1919,1919,0,2,9,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,500,,500,0.091539464,0.126969671
1920-0001-IND,31,1920,1920,0,3,0,Biological,Epidemic,Epidemic,Bacterial Disease,Bubonic,India,IND,20.593684,78.96288,Southern Asia,Asia,2000000,,2000000,0.339603947,0.6602837
1920-0002-IND,32,1920,1920,0,3,0,Biological,Epidemic,Epidemic,Bacterial Disease,Cholera,India,IND,20.593684,78.96288,Southern Asia,Asia,500000,,500000,0.725746135,0.223411242
1920-0007-CHN,28,1920,1920,0,3,0,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,180000,,180000,0.338183152,0.785825348
1920-9004-CPV,29,1920,1920,0,3,0,Climatological,Drought,Drought,Drought,,Cape Verde Islands,CPV,16.002082,-24.013197,Western Africa,Africa,24000,,24000,0.967774923,0.180896471
1920-9003-CHN,30,1920,1920,0,3,0,Climatological,Drought,Drought,Drought,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,500000,20000000,20500000,0.380748903,0.85116454
1920-0014-ITA,319,1920,1920,0,3,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,1400,,1400,0.018626919,0.966600704
1920-0016-USA,320,1920,1920,0,3,0,Meteorological,Storm,Storm,Convective Storm,,United States,USA,37.09024,-95.712891,Northern America,Americas,224,,224,0.413358408,0.594915424
1920-0018-ALB,2012,1920,1920,0,3,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Albania,ALB,41.153332,20.168331,Southern Europe,Europe,200,,200,0.05143648,0.051893284
1920-0019-ARG,2013,1920,1920,0,3,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Argentina,ARG,-38.416097,-63.616672,South America,Americas,400,,400,0.744258275,0.434263969
1920-0017-MEX,2056,1920,1920,0,3,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Mexico,MEX,23.634501,-102.552784,Central America,Americas,648,167,815,0.170430815,0.135871223
1921-9001-SUN,321,1921,1921,0,3,1,Climatological,Drought,Drought,Drought,,Russian Federation,RUS,61.52401,105.318756,Russian Federation,Europe,1200000,5000000,6200000,0.435647684,0.663610284
1922-0001-CHL,33,1922,1922,0,3,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Chile,CHL,-35.675147,-71.542969,South America,Americas,1000,,1000,0.827724896,0.772347144
1922-0004-CHN,34,1922,1922,0,3,2,Meteorological,Storm,Storm,Tropical Cyclone,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,100000,,100000,0.107252399,0.871187749
1923-0019-CHN,35,1923,1923,0,3,3,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,5000,,5000,0.934816537,0.838447597
1923-0006-JPN,323,1923,1923,0,3,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,143000,203733,346733,0.479176379,0.694596925
1923-0020-IRN,324,1923,1923,0,3,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,2200,,2200,0.14128111,0.63461326
1923-0007-JPN,325,1923,1923,0,3,3,Hydrological,Landslide,Landslide,Landslide,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,200,,200,0.638393453,0.846427693
1923-0009-JPN,326,1923,1923,0,3,3,Meteorological,Storm,Storm,Tropical Cyclone,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,3000,,3000,0.104011218,0.915873328
1923-0002-NER,327,1923,1923,0,3,3,Biological,Epidemic,Epidemic,Bacterial Disease,,Niger,NER,17.607789,8.081666,Western Africa,Africa,100000,,100000,0.391497056,0.400557659
1923-0027-COL,2014,1923,1923,0,3,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Colombia,COL,4.570868,-74.297333,South America,Americas,300,,300,0.400969724,0.879623877
1923-0026-IRN,2058,1923,1923,0,3,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,290,,290,0.609218306,0.659072559
1924-0001-IND,39,1924,1924,0,3,4,Biological,Epidemic,Epidemic,Bacterial Disease,Cholera,India,IND,20.593684,78.96288,Southern Asia,Asia,300000,,300000,0.96875859,0.906685194
1924-0007-IDN,37,1924,1924,0,3,4,Geophysical,Earthquake,Earthquake,Ground Movement,,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,727,11250,11977,0.511543493,0.772788831
1924-0003-IND,38,1924,1924,0,3,4,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,1242,1000000,1001242,0.822763583,0.60250993
1924-0002-TWN,328,1924,1924,0,3,4,Meteorological,Storm,Storm,Tropical Cyclone,,Taiwan,TWN,23.69781,120.960515,Eastern Asia,Asia,1000,,1000,0.418724094,0.262837842
1925-0002-CHN,40,1925,1925,0,3,5,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,5000,,5000,0.787665626,0.744943197
1925-0001-USA,329,1925,1925,0,3,5,Meteorological,Storm,Storm,Convective Storm,,United States,USA,37.09024,-95.712891,Northern America,Americas,739,,739,0.023722814,0.656999764
1925-0015-IRN,2059,1925,1925,0,3,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,500,,500,0.339381548,0.619993819
1925-0011-JPN,2060,1925,1925,0,3,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,395,9999,10394,0.264296175,0.560099495
1925-0009-TUR,2126,1925,1925,0,3,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,200,,200,0.962596629,0.900341849
1926-0012-CUB,42,1926,1926,0,3,6,Meteorological,Storm,Storm,Tropical Cyclone,,Cuba,CUB,21.521757,-77.781167,Caribbean,Americas,600,,600,0.71402899,0.819669568
1926-0001-IND,43,1926,1926,0,3,6,Biological,Epidemic,Epidemic,Viral Disease,,India,IND,20.593684,78.96288,Southern Asia,Asia,423000,,423000,0.275717904,0.83806571
1926-0005-MMR,331,1926,1926,0,3,6,Meteorological,Storm,Storm,Tropical Cyclone,,Myanmar,MMR,21.913965,95.956223,South-Eastern Asia,Asia,2700,40000,42700,0.169866809,0.976076291
1926-0002-ROU,332,1926,1926,0,3,6,Hydrological,Flood,Flood,Flood,,Romania,ROU,45.943161,24.96676,Eastern Europe,Europe,1000,,1000,0.124821425,0.981123905
1926-0011-USA,333,1926,1926,0,3,6,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,243,,243,0.388020198,0.583616132
1927-0006-CHN,44,1927,1927,0,3,7,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,40912,133894,174806,0.909226052,0.978507481
1927-0009-CHN,45,1927,1927,0,3,7,Meteorological,Storm,Storm,Tropical Cyclone,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,5000,,5000,0.917142867,0.902487538
1927-0012-DZA,46,1927,1927,0,3,7,Hydrological,Flood,Flood,Flood,,Algeria,DZA,28.033886,1.659626,Northern Africa,Africa,3000,,3000,0.524617427,0.858513922
1927-0011-IND,47,1927,1927,0,3,7,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,629,,629,0.664009333,0.179928728
1927-0007-JOR,334,1927,1927,0,3,7,Geophysical,Earthquake,Earthquake,Ground Movement,,Jordan,JOR,30.585164,36.238414,Western Asia,Asia,268,,268,0.427733359,0.174471822
1927-0004-JPN,335,1927,1927,0,3,7,Geophysical,Earthquake,Earthquake,Ground Movement,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,3022,79540,82562,0.157392807,0.353109705
1927-0005-USA,664,1927,1927,0,3,7,Hydrological,Flood,Flood,Flood,,United States,USA,37.09024,-95.712891,Northern America,Americas,246,,246,0.496852942,0.304687964
1928-0015-GLP,51,1928,1928,0,3,8,Meteorological,Storm,Storm,Tropical Cyclone,Felipe,French West Indies,GLP,16.995971,-62.067641,Caribbean,Americas,2000,,2000,0.340648699,0.601962439
1928-0013-PRI,336,1928,1928,0,3,8,Meteorological,Storm,Storm,Tropical Cyclone,San Felipe / Okeechobee,Puerto Rico,PRI,18.220833,-66.590149,Caribbean,Americas,300,,300,0.909154521,0.63624028
1928-0003-CHL,49,1928,1928,0,3,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Chile,CHL,-35.675147,-71.542969,South America,Americas,220,,220,0.783367361,0.454619784
1928-9002-CHN,50,1928,1928,0,3,8,Climatological,Drought,Drought,Drought,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,3000000,,3000000,0.131226818,0.745428062
1928-0014-USA,337,1928,1928,0,3,8,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,1836,,1836,0.997572856,0.381628694
1929-0012-IRN,338,1929,1929,0,3,9,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,3253,1121,4374,0.841215654,0.306080722
1930-0003-IDN,56,1930,1930,0,4,0,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mt. Merapi,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,1369,,1369,0.684682988,0.9296451
1930-0009-DOM,55,1930,1930,0,4,0,Meteorological,Storm,Storm,Tropical Cyclone,San Zenon,Dominican Republic,DOM,18.735693,-70.162651,Caribbean,Americas,2000,12000,14000,0.148564129,0.195433647
1930-0024-DMA,54,1930,1930,0,4,0,Meteorological,Storm,Storm,Tropical Cyclone,,Dominica,DMA,15.414999,-61.370976,Caribbean,Americas,2000,,2000,0.133483964,0.161841727
1930-0006-MMR,339,1930,1930,0,4,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Myanmar,MMR,21.913965,95.956223,South-Eastern Asia,Asia,500,,500,0.111311592,0.460535548
1930-0025-IRN,340,1930,1930,0,4,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,1360,,1360,0.613567672,0.550810093
1930-0008-ITA,341,1930,1930,0,4,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,1883,10000,11883,0.279465543,0.185178547
1930-0012-JPN,342,1930,1930,0,4,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,259,26122,26381,0.277751018,0.654425854
1930-0031-CHN,2016,1930,1930,0,4,0,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,200,,200,0.195054208,0.308009022
1930-0028-NIC,2061,1930,1930,0,4,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Nicaragua,NIC,12.865416,-85.207229,Central America,Americas,1000,,1000,0.277837083,0.300551542
1931-0012-IDN,62,1931,1931,0,4,1,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mt. Merapi,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,1300,,1300,0.4079177,0.179048751
1931-0007-CHN,57,1931,1931,0,4,1,Hydrological,Flood,Flood,Riverine Flood,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,3700000,,3700000,0.311552338,0.347278583
1931-0009-BLZ,58,1931,1931,0,4,1,Meteorological,Storm,Storm,Tropical Cyclone,,Belize,BLZ,17.189877,-88.49765,Central America,Americas,1500,,1500,0.783667681,0.71421035
1931-0006-FJI,60,1931,1931,0,4,1,Meteorological,Storm,Storm,Tropical Cyclone,,Fiji,FJI,-16.578193,179.414413,Melanesia,Oceania,200,,200,0.140172808,0.543162478
1931-0010-HND,61,1931,1931,0,4,1,Meteorological,Storm,Storm,Tropical Cyclone,,Honduras,HND,15.199999,-86.241905,Central America,Americas,1500,,1500,0.361757431,0.245939539
1931-0001-NIC,343,1931,1931,0,4,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Nicaragua,NIC,12.865416,-85.207229,Central America,Americas,1000,,1000,0.15847916,0.86185171
1931-0004-NZL,344,1931,1931,0,4,1,Geophysical,Earthquake,Earthquake,Ground Movement,,New Zealand,NZL,-40.900557,174.885971,Australia and New Zealand,Oceania,256,11000,11256,0.21923244,0.579530677
1931-0019-ARM,2017,1931,1931,0,4,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Armenia,ARM,40.069099,45.038189,Western Asia,Asia,2890,,2890,0.948400913,0.699883991
1931-0020-CHN,2018,1931,1931,0,4,1,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,10000,,10000,0.424195135,0.668997671
1932-0005-PRI,346,1932,1932,0,4,2,Meteorological,Storm,Storm,Tropical Cyclone,San Ciprian,Puerto Rico,PRI,18.220833,-66.590149,Caribbean,Americas,225,,225,0.506632349,0.991058974
1932-0006-CUB,63,1932,1932,0,4,2,Meteorological,Storm,Storm,Tropical Cyclone,,Cuba,CUB,21.521757,-77.781167,Caribbean,Americas,2500,,2500,0.027699497,0.183198192
1932-0014-USA,347,1932,1932,0,4,2,Meteorological,Storm,Storm,Convective Storm,,United States,USA,37.09024,-95.712891,Northern America,Americas,332,,332,0.887968323,0.324556733
1932-0017-MEX,2063,1932,1932,0,4,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Mexico,MEX,23.634501,-102.552784,Central America,Americas,400,120,520,0.440386083,0.144160433
1932-0016-IRN,2064,1932,1932,0,4,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,1070,,1070,0.07147939,0.447488656
1933-0021-CHN,64,1933,1933,0,4,3,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,10000,,10000,0.814039334,0.536888987
1933-0013-CHN,65,1933,1933,0,4,3,Hydrological,Flood,Flood,Riverine Flood,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,18000,3600000,3618000,0.747234019,0.220111147
1933-0001-JPN,349,1933,1933,0,4,3,Geophysical,Earthquake,Earthquake,Tsunami,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,3000,,3000,0.573943391,0.520587684
